,BOAT,type,WING_CONFIG_unk,DATETIME,entry_bsp,exit_bsp,min_bsp,bsp_loss,entry_twa,exit_twa,entry_rh,exit_rh,entry_rh_stability,max_yaw_rate,two_DB_time,tws,pop_time,turn_min_rh,t_invert,entry_heel,entry_pitch,exit_heel,exit_pitch,turning_time,bsp_at_drop,heel_at_drop,entry_jib_lead,exit_jib_lead,entry_jib_sheet,exit_jib_sheet,max_rudder_angle,vmg_distance,theoretical_target_vmg
7450,SUI,tack,15.0,2023-09-09T12:39:14.600000+00:00,40.52,41.87,32.16,8.360000000000007,51.6,69.9,1103.9,797.4,1358.4,32.15,6.0,17.0,0.8,619.5,,-1.4156,-1.1724,1.4289999999999998,-1.4926,4.4,43.71,1.23,54.294,59.49100000000001,6.586200000000002,6.985399999999999,21.3,192.43468954510496,19.8294
7451,SUI,tack,15.0,2023-09-09T12:40:06.600000+00:00,40.63,25.72,23.74,16.890000000000004,61.7,52.9,1040.5,213.6,1267.9,34.33,5.2,18.0,0.4,595.0,,0.4433999999999999,-1.1444000000000003,3.4302,0.143,4.2,40.63,-1.17,57.9128,59.98099999999999,6.864400000000001,7.027399999999999,22.7,210.4541667485672,23.275
7454,SUI,tack,15.0,2023-09-09T12:44:51.600000+00:00,37.92,28.14,19.97,17.950000000000003,45.5,70.2,1200.2,274.8,1186.3,23.3,4.0,18.0,0.6,215.4,,3.1000000000000005,-0.3535999999999999,9.0454,-0.4096,4.0,31.78,2.44,63.1166,70.7242,7.302399999999999,7.9316,19.4,197.40756283897787,23.0354
7455,SUI,tack,15.0,2023-09-09T11:51:56.600000+00:00,50.52,43.99,33.68,16.840000000000003,42.5,64.8,1109.3,1012.6,853.7,34.46,4.4,19.0,1.0,959.4,,-1.6983999999999997,-2.0258000000000003,-3.7524,-2.0779999999999994,3.8,49.38,-1.65,63.23960000000001,67.00820000000002,7.367199999999999,7.598800000000001,17.2,294.1411343674691,23.3398
7456,SUI,tack,15.0,2023-09-09T12:48:08.200000+00:00,38.47,22.6,15.27,23.2,51.5,94.6,1081.2,45.2,665.0,22.23,4.8,15.0,1.0,575.6,,-1.489,-1.1928,4.017,-0.6663999999999999,5.6,34.13,0.15,57.27359999999999,74.8576,6.788000000000002,8.291400000000001,16.1,155.01635623311842,17.6096
7457,SUI,tack,15.0,2023-09-09T12:15:00.200000+00:00,39.91,25.25,24.7,15.209999999999996,51.1,59.1,1257.6,134.2,843.2,37.82,9.4,17.0,2.4,296.2,,0.1084,-1.1224,2.2564,0.264,6.0,43.48,1.72,55.70840000000002,69.68520000000001,6.687200000000001,7.833599999999999,21.3,154.24630211070323,20.3024
7458,SUI,tack,15.0,2023-09-09T11:50:45.600000+00:00,39.1,34.53,27.94,11.16,67.8,63.9,1182.3,1090.2,733.0,32.74,6.2,17.0,0.8,201.2,,-1.9528000000000003,-1.9876,3.594,0.0666,4.8,38.17,0.31,57.2456,77.461,6.796800000000001,8.465399999999999,18.9,178.20386270253832,13.936000000000002
7459,SUI,tack,15.0,2023-09-09T12:10:44.600000+00:00,46.0,27.88,26.91,19.09,48.6,57.3,1038.1,196.5,1443.1,37.85,5.8,19.0,2.0,75.8,,1.8058,-1.2784,3.894,-0.1043999999999999,6.4,44.64,3.73,58.44480000000001,72.295,6.9202,8.0364,18.7,228.5916345957551,24.2176
7460,SUI,tack,15.0,2023-09-09T11:46:55.200000+00:00,44.1,30.95,16.49,27.610000000000003,70.8,106.7,1198.6,461.6,1583.2,22.12,7.6,16.0,1.2,1068.8,,0.0313999999999999,-1.9938,8.2596,-0.0496,16.2,50.22,0.58,97.4946,100.0,10.143,10.34,20.9,121.11719888469176,18.178800000000003
7462,SUI,tack,15.0,2023-09-09T10:38:59.200000+00:00,28.06,10.69,9.1,18.96,88.1,123.9,371.6,4.9,1999.3,10.33,2.2,15.0,2.6,-125.9,,0.7711999999999999,1.0342000000000002,1.2808,0.1286,3.8,23.03,1.71,81.2326,87.5228,8.808,9.3062,15.7,55.29513660158008,6.285200000000003
7464,SUI,tack,15.0,2023-09-09T10:46:22.600000+00:00,23.43,20.75,11.18,12.25,55.3,38.7,138.5,210.1,451.7,11.92,3.8,15.0,0.2,-261.0,,9.8426,-0.3666,9.7524,-0.0539999999999999,7.4,19.36,6.19,70.59899999999999,73.79260000000001,7.9182,8.1884,17.2,133.41993267413082,17.9408
7465,SUI,tack,15.0,2023-09-09T10:48:55.600000+00:00,40.2,22.53,20.09,20.110000000000003,61.9,46.0,1060.0,124.7,1985.9,29.69,5.8,14.0,1.6,78.1,,-0.6452,-1.224,7.514399999999999,-0.336,4.6,37.81,0.42,53.7892,72.4324,6.5602,8.042,20.9,211.406004628251,18.2252
7469,SUI,tack,15.0,2023-09-09T10:55:36.600000+00:00,30.96,23.42,20.57,10.39,79.6,47.3,273.7,211.3,983.6,30.28,7.8,15.0,1.2,-148.9,,4.8112,-0.513,8.918,-0.835,5.4,32.25,1.34,91.85100000000004,72.10859999999998,9.658400000000002,8.051999999999998,17.6,124.1212138923576,19.9128
7473,SUI,tack,15.0,2023-09-09T11:15:22.600000+00:00,57.72,46.73,32.09,25.629999999999995,88.5,126.5,1202.4,990.2,1242.6,26.85,11.6,17.0,1.2,698.4,,-0.2722,-2.0994,1.2809999999999997,-1.4674,10.8,62.65,0.64,100.0,100.0,10.34,10.34,15.4,252.2809879445045,4.589200000000001
7474,SUI,tack,15.0,2023-09-09T11:13:24.600000+00:00,47.44,24.68,22.87,24.57,87.8,42.6,846.1,217.1,1169.8,25.67,7.0,16.0,-0.2,54.4,,2.0132,-1.1136,9.4966,-0.0416,5.4,43.85,1.93,83.165,100.0,8.9634,10.34,17.8,170.56349443619814,4.6628
7475,SUI,tack,15.0,2023-09-09T11:43:57.600000+00:00,18.1,23.52,10.45,7.650000000000002,53.2,56.0,102.5,208.2,389.2,11.32,1.4,15.0,-0.4,-203.8,,8.019599999999999,-0.527,10.1468,-0.8680000000000001,5.6,17.75,-1.03,44.3466,51.1074,5.738199999999999,6.2978,18.7,147.03539416002351,17.3246
7476,SUI,tack,15.0,2023-09-09T11:29:48.600000+00:00,34.53,7.02,5.63,28.9,54.3,16.0,1155.1,-1.3,922.3,9.92,16.8,17.0,-15.2,-203.1,,-0.6076,-0.5886,0.8946,0.2926,2.8,20.0,-0.16,73.5044,100.0,8.1532,10.34,7.4,173.83146498037266,20.4116
7477,SUI,tack,15.0,2023-09-09T11:29:08.200000+00:00,42.39,32.34,29.03,13.36,47.1,50.6,1013.9,1145.0,2000.0,40.43,5.8,16.0,0.8,842.0,,-0.1101999999999999,-1.1842,0.1876,0.3806000000000001,4.6,41.38,0.85,66.1136,82.2658,7.550999999999999,8.8748,22.3,192.80884182431456,18.6058
7479,SUI,tack,15.0,2023-09-09T11:25:29.200000+00:00,11.79,11.67,6.07,5.719999999999999,41.8,58.8,-44.2,-38.3,916.3,8.31,11.2,16.0,1.6,-93.9,,1.6166,-0.1246,2.072,-0.1785999999999999,2.4,13.79,0.99,97.15439999999998,96.9446,10.0982,10.1176,19.7,77.8126514222399,22.306
7480,SUI,tack,15.0,2023-09-09T11:20:39.200000+00:00,43.48,41.16,33.11,10.369999999999996,58.4,57.1,1297.5,801.3,839.1,40.87,5.8,16.0,0.4,436.6,,0.1669999999999999,-1.3925999999999998,0.946,-1.2919999999999998,4.4,46.43,2.52,46.20139999999999,56.43959999999999,5.896999999999999,6.7402,19.3,202.8791130821876,21.0084
7482,SUI,tack,15.0,2023-09-09T11:16:44.600000+00:00,56.52,23.57,22.82,33.7,86.7,50.1,959.0,103.5,788.4,23.47,6.4,18.0,0.4,227.0,,2.895,-1.899,7.2096,-0.077,7.4,50.92,3.55,74.568,81.25079999999998,8.250600000000002,8.7936,18.0,168.23401845139102,8.671800000000001
7484,SUI,tack,15.0,2023-09-09T11:45:45.600000+00:00,20.73,22.28,11.47,9.26,45.2,65.9,115.6,94.4,619.6,10.08,0.2,15.0,0.2,-134.0,,8.783,-0.6134,7.7174,-0.7862,4.2,14.28,0.84,44.11600000000001,77.1762,5.726,8.458799999999998,17.0,136.56905982899647,21.180200000000003
7486,USA,tack,15.0,2023-09-09T12:14:48.600000+00:00,44.34,41.72,31.99,12.350000000000003,41.2,62.7,1021.2,1101.8,839.0,30.41,5.6,20.0,1.0,599.8,,-0.857,-2.0268,-0.3781999999999999,-1.1576000000000002,4.2,49.01,4.38,44.3552,60.72839999999999,5.740000000000001,7.104400000000001,49.3,236.87314071698947,24.3028
7487,USA,tack,15.0,2023-09-09T12:06:00.600000+00:00,46.97,24.61,12.78,34.19,57.4,83.5,1031.3,38.2,1164.3,28.33,12.0,17.0,1.0,-62.5,,1.3508000000000002,-0.9884,6.8046000000000015,-1.6512,6.6,43.21,2.53,68.08319999999999,81.7266,7.709999999999999,8.8324,52.2,137.72341995269332,20.384
7489,USA,tack,15.0,2023-09-09T12:09:32.200000+00:00,42.17,33.08,26.43,15.740000000000002,43.6,65.4,1060.4,930.8,827.8,24.09,5.4,18.0,1.0,393.6,,-2.406,-1.8856,3.815,0.0936,5.0,40.66,0.83,46.043600000000005,67.34679999999999,5.88,7.651800000000001,51.4,223.89258845933256,21.725000000000005
7490,USA,tack,15.0,2023-09-09T12:10:47.600000+00:00,44.21,26.04,22.92,21.29,56.4,50.1,1220.5,196.1,771.2,28.61,4.4,20.0,0.6,917.4,,0.5494,-2.2924,8.0616,-0.5056,4.8,41.93,5.17,32.9664,54.519400000000005,4.78,6.583799999999999,40.6,220.96542687037183,24.5992
7494,USA,tack,15.0,2023-09-09T12:27:36.600000+00:00,28.16,8.42,6.51,21.65,50.4,28.3,258.7,29.9,778.1,8.84,,18.0,-6.0,-187.8,,8.549399999999999,-0.2652,0.1467999999999999,0.281,2.0,28.79,6.27,73.03299999999999,72.6424,8.120999999999999,8.091199999999999,44.0,141.51328854156654,20.0896
